country,airport,METARs,UTC/Time
United-states, Aberdeen Regional Airport (ABR/KABR) ,"['KABR 150953Z AUTO 30003KT 10SM CLR M16/M18 A3021 RMK AO2 SLP257 T11611178', 'KABR 150853Z AUTO 32005KT 10SM CLR M12/M14 A3021 RMK AO2 SLP254 T11171139 53001', 'KABR 150753Z AUTO 33007KT 10SM CLR M12/M15 A3021 RMK AO2 SLP253 T11221150', 'KABR 150653Z AUTO 34005KT 10SM CLR M12/M14 A3021 RMK AO2 SLP254 T11221144', 'KABR 150553Z AUTO 32007KT 10SM CLR M11/M13 A3021 RMK AO2 SLP253 T11111133 11022 21117 410221117 51013', 'KABR 150453Z AUTO 30007KT 10SM CLR M09/M12 A3020 RMK AO2 SLP248 T10891117', 'KABR 150353Z AUTO 30008KT 10SM CLR M07/M10 A3018 RMK AO2 SLP241 T10721100', 'KABR 150253Z AUTO 31006KT 10SM CLR M07/M10 A3017 RMK AO2 SLP236 T10721100 51010', 'KABR 150153Z AUTO 33007KT 10SM SCT027 M05/M08 A3016 RMK AO2 SLP234 T10501083', 'KABR 150053Z AUTO 34008KT 10SM OVC025 M02/M06 A3017 RMK AO2 SLP233 T10221061', 'KABR 142353Z AUTO 33006KT 10SM BKN027 OVC110 M03/M06 A3014 RMK AO2 SLP225 60010 T10281056 11022 21033 51009', 'KABR 142253Z AUTO 33007KT 10SM BKN026 OVC065 M02/M06 A3013 RMK AO2 SNE09B21E31 SLP224 P0000 T10221056', 'KABR 142210Z AUTO 34008KT 8SM FEW033 BKN041 OVC075 M02/M05 A3012 RMK AO2 SNE09 P0000 T10221050', 'KABR 142153Z AUTO 35010KT 1 3/4SM -SN FEW014 BKN027 OVC042 M02/M05 A3011 RMK AO2 SLP215 P0000 T10221050', 'KABR 142121Z AUTO 35009KT 2 1/2SM -SN SCT009 BKN036 OVC044 M02/M05 A3010 RMK AO2 P0000 T10221050', 'KABR 142053Z AUTO 36008KT 2SM -SN FEW008 BKN030 OVC038 M03/M06 A3010 RMK AO2 SLP213 P0003 60010 T10281056 56010', 'KABR 142014Z AUTO 36010KT 3/4SM -SN FEW008 BKN017 OVC026 M03/M06 A3011 RMK AO2 P0001 T10281056', 'KABR 141953Z AUTO 36009KT 3/4SM -SN BR SCT009 OVC014 M03/M05 A3011 RMK AO2 SLP215 P0003 T10281050', 'KABR 141900Z AUTO 01008KT 3/4SM -SN BR FEW008 OVC015 M03/M05 A3011 RMK AO2 P0001 T10281050', 'KABR 141853Z AUTO 01010KT 3/4SM -SN BR FEW006 FEW009 OVC013 M03/M06 A3011 RMK AO2 SLP217 P0004 T10331056', 'KABR 141802Z AUTO 02009KT 1/2SM SN FZFG VV011 M04/M06 A3013 RMK AO2 P0001 T10391056', 'KABR 141753Z AUTO 01008KT 1/4SM SN FZFG VV010 M03/M06 A3013 RMK AO2 SLP222 P0004 60004 T10331056 11028 21050 50004', 'KABR 141707Z AUTO 01010KT 1/2SM SN FZFG VV014 M03/M06 A3014 RMK AO2 P0001 T10331056', 'KABR 141653Z AUTO 36010KT 3/4SM -SN VV017 M03/M06 A3014 RMK AO2 SNB24 SLP227 P0000 T10331061', 'KABR 141553Z AUTO 01006KT 10SM BKN046 OVC055 M03/M07 A3014 RMK AO2 SLP222 T10281067', 'KABR 141453Z AUTO 03009KT 10SM OVC065 M03/M07 A3012 RMK AO2 SLP217 T10331072 51009', 'KABR 141353Z AUTO 01007KT 10SM OVC080 M03/M07 A3011 RMK AO2 SLP214 T10331067', 'KABR 141253Z AUTO 01005KT 10SM OVC095 M04/M06 A3011 RMK AO2 SLP211 T10391061', 'KABR 141153Z AUTO 35005KT 10SM BKN120 M05/M07 A3009 RMK AO2 SLP205 I6001 T10501072 11039 21072 53003', 'KABR 141053Z AUTO 32003KT 10SM CLR M07/M09 A3008 RMK AO2 SLP202 T10671089', 'KABR 140953Z AUTO 33004KT 9SM CLR M06/M07 A3007 RMK AO2 SLP198 I1001 T10611072', 'KABR 140853Z AUTO 24003KT 9SM CLR M06/M07 A3008 RMK AO2 SLP202 I1000 I3000 T10611072 51014', 'KABR 140753Z AUTO 27005KT 10SM CLR M06/M07 A3007 RMK AO2 SLP198 I1000 T10561067', 'KABR 140653Z AUTO 29003KT 10SM CLR M04/M06 A3005 RMK AO2 SLP192 I1000 T10441056', 'KABR 140553Z AUTO 21003KT 10SM CLR M04/M06 A3004 RMK AO2 SLP187 T10391056 10044 21050 400611056 51011', 'KABR 140453Z AUTO 17004KT 10SM CLR M04/M06 A3003 RMK AO2 SLP187 T10441056', 'KABR 140353Z AUTO 00000KT 10SM CLR M02/M04 A3002 RMK AO2 SLP183 T10221044', 'KABR 140253Z AUTO 31007KT 10SM CLR M02/M05 A3001 RMK AO2 SLP177 T10221050 51020', 'KABR 140153Z AUTO 32005KT 10SM CLR M01/M04 A3000 RMK AO2 SLP173 T10111039', 'KABR 140053Z AUTO 34006KT 10SM CLR 01/M02 A2998 RMK AO2 WSHFT 0001 SLP167 T00111022', 'KABR 140029Z AUTO 33009KT 10SM SCT025 BKN033 BKN042 03/M02 A2997 RMK AO2 WSHFT 0001 T00281017', 'KABR 132353Z AUTO 23004KT 10SM BKN029 OVC043 04/01 A2995 RMK AO2 SLP154 60000 T00390006 10061 20022 53004', 'KABR 132253Z AUTO 20005KT 10SM BKN033 06/01 A2993 RMK AO2 SLP150 T00560011', 'KABR 132153Z AUTO 24008KT 10SM OVC021 05/01 A2993 RMK AO2 SLP150 T00500006', 'KABR 132053Z AUTO 22009KT 10SM OVC024 05/01 A2992 RMK AO2 RAB26E36 SLP147 P0000 60000 T00500011 56017', 'KABR 131953Z AUTO 21010KT 10SM BKN036 BKN047 OVC055 05/01 A2993 RMK AO2 SLP151 T00500006', 'KABR 131853Z AUTO 21013KT 10SM OVC034 04/00 A2995 RMK AO2 SLP157 T00440000', 'KABR 131753Z AUTO 20013KT 10SM SCT032 BKN043 02/M01 A2998 RMK AO2 SLP166 T00221011 10028 21033 56004', 'KABR 131653Z AUTO 20014KT 10SM OVC060 02/M02 A2998 RMK AO2 SLP166 T00171022', 'KABR 131553Z AUTO 17010KT 10SM BKN060 OVC090 00/M03 A2998 RMK AO2 SLP167 T00001033', 'KABR 131453Z AUTO 16007KT 10SM OVC060 M01/M04 A2999 RMK AO2 SLP171 T10111039 53004', 'KABR 131353Z AUTO 17005KT 10SM BKN060 OVC085 M02/M04 A2998 RMK AO2 SLP167 T10221044', 'KABR 131253Z AUTO 18007KT 10SM OVC080 M02/M05 A2996 RMK AO2 SLP163 T10221050', 'KABR 131153Z AUTO 17005KT 10SM FEW075 OVC095 M03/M05 A2997 RMK AO2 SLP166 I6000 T10331050 11028 21056 57002', 'KABR 131053Z AUTO 17004KT 10SM OVC080 M04/M06 A2998 RMK AO2 SLP166 I1000 T10441061', 'KABR 130953Z AUTO 20003KT 10SM SCT110 M05/M07 A2998 RMK AO2 SLP165 I1000 T10501067', 'KABR 130853Z AUTO 17005KT 10SM SCT110 M04/M06 A2998 RMK AO2 SLP165 I1000 I3000 T10441061 53004', 'KABR 130753Z AUTO 13004KT 10SM CLR M06/M07 A2997 RMK AO2 SLP163 I1000 T10561067', 'KABR 130653Z AUTO 13004KT 10SM CLR M04/M06 A2997 RMK AO2 SLP165 I1000 T10441056', 'KABR 130553Z AUTO 11004KT 10SM CLR M04/M06 A2997 RMK AO2 SLP163 I1001 I6001 T10441061 10017 21050 400721072 51001', 'KABR 130453Z AUTO 00000KT 10SM CLR M03/M06 A2997 RMK AO2 SLP163 T10331056', 'KABR 130353Z AUTO 00000KT 10SM CLR M03/M04 A2997 RMK AO2 SLP164 T10281044', 'KABR 130253Z AUTO 00000KT 10SM CLR M03/M04 A2996 RMK AO2 SLP165 T10281044 53006', 'KABR 130153Z AUTO 05003KT 10SM CLR M01/M03 A2995 RMK AO2 SLP160 T10061033', 'KABR 130053Z AUTO 11003KT 10SM CLR 00/M03 A2995 RMK AO2 SLP160 T00001033', 'KABR 122353Z AUTO 03004KT 10SM CLR 01/M03 A2995 RMK AO2 SLP157 T00111028 10072 20011 53005', 'KABR 122253Z AUTO 04007KT 10SM CLR 04/M03 A2993 RMK AO2 SLP151 T00441028', 'KABR 122153Z AUTO 36008KT 10SM CLR 06/M03 A2993 RMK AO2 SLP150 T00611033', 'KABR 122053Z AUTO 01005KT 10SM CLR 07/M02 A2993 RMK AO2 SLP148 T00671022 56015', 'KABR 121953Z AUTO VRB03KT 10SM CLR 06/M03 A2994 RMK AO2 SLP150 T00611028', 'KABR 121853Z AUTO 27005KT 10SM CLR 04/M03 A2996 RMK AO2 SLP157 T00391028', 'KABR 121753Z AUTO VRB04KT 10SM CLR 03/M03 A2998 RMK AO2 SLP164 I6000 T00331028 10033 21067 51002', 'KABR 121653Z AUTO 34003KT 10SM CLR 02/M03 A2998 RMK AO2 SLP165 T00171033', 'KABR 121553Z AUTO 30006KT 10SM CLR M01/M04 A2998 RMK AO2 SLP166 T10061039', 'KABR 121453Z AUTO 25005KT 10SM CLR M03/M05 A2997 RMK AO2 SLP165 I3000 T10281050 53004', 'KABR 121353Z AUTO 22006KT 10SM CLR M06/M08 A2996 RMK AO2 SLP161 I1000 T10611078', 'KABR 121253Z AUTO 24005KT 10SM CLR M07/M08 A2996 RMK AO2 SLP161 I1000 T10671078', 'KABR 121153Z AUTO 00000KT 10SM CLR M06/M07 A2996 RMK AO2 SLP161 I1000 I6000 T10611072 11006 21072 53007', 'KABR 121053Z AUTO 20004KT 10SM CLR M04/M06 A2994 RMK AO2 SLP153 T10441061']","['2024-02-15 09:53:00', '2024-02-15 08:53:00', '2024-02-15 07:53:00', '2024-02-15 06:53:00', '2024-02-15 05:53:00', '2024-02-15 04:53:00', '2024-02-15 03:53:00', '2024-02-15 02:53:00', '2024-02-15 01:53:00', '2024-02-15 00:53:00', '2024-02-14 23:53:00', '2024-02-14 22:53:00', '2024-02-14 22:10:00', '2024-02-14 21:53:00', '2024-02-14 21:21:00', '2024-02-14 20:53:00', '2024-02-14 20:14:00', '2024-02-14 19:53:00', '2024-02-14 19:00:00', '2024-02-14 18:53:00', '2024-02-14 18:02:00', '2024-02-14 17:53:00', '2024-02-14 17:07:00', '2024-02-14 16:53:00', '2024-02-14 15:53:00', '2024-02-14 14:53:00', '2024-02-14 13:53:00', '2024-02-14 12:53:00', '2024-02-14 11:53:00', '2024-02-14 10:53:00', '2024-02-14 09:53:00', '2024-02-14 08:53:00', '2024-02-14 07:53:00', '2024-02-14 06:53:00', '2024-02-14 05:53:00', '2024-02-14 04:53:00', '2024-02-14 03:53:00', '2024-02-14 02:53:00', '2024-02-14 01:53:00', '2024-02-14 00:53:00', '2024-02-14 00:29:00', '2024-02-13 23:53:00', '2024-02-13 22:53:00', '2024-02-13 21:53:00', '2024-02-13 20:53:00', '2024-02-13 19:53:00', '2024-02-13 18:53:00', '2024-02-13 17:53:00', '2024-02-13 16:53:00', '2024-02-13 15:53:00', '2024-02-13 14:53:00', '2024-02-13 13:53:00', '2024-02-13 12:53:00', '2024-02-13 11:53:00', '2024-02-13 10:53:00', '2024-02-13 09:53:00', '2024-02-13 08:53:00', '2024-02-13 07:53:00', '2024-02-13 06:53:00', '2024-02-13 05:53:00', '2024-02-13 04:53:00', '2024-02-13 03:53:00', '2024-02-13 02:53:00', '2024-02-13 01:53:00', '2024-02-13 00:53:00', '2024-02-12 23:53:00', '2024-02-12 22:53:00', '2024-02-12 21:53:00', '2024-02-12 20:53:00', '2024-02-12 19:53:00', '2024-02-12 18:53:00', '2024-02-12 17:53:00', '2024-02-12 16:53:00', '2024-02-12 15:53:00', '2024-02-12 14:53:00', '2024-02-12 13:53:00', '2024-02-12 12:53:00', '2024-02-12 11:53:00', '2024-02-12 10:53:00']"
United-states, Abilene Regional Airport (ABI/KABI) ,"['KABI 150952Z 21009KT 10SM CLR 12/09 A3008 RMK AO2 SLP173 T01170094', 'KABI 150852Z 21008KT 10SM CLR 12/10 A3008 RMK AO2 SLP173 T01220100 53004', 'KABI 150752Z 21010KT 10SM CLR 13/10 A3006 RMK AO2 SLP166 T01280100', 'KABI 150652Z 20016G23KT 10SM CLR 13/10 A3008 RMK AO2 PK WND 21028/0626 SLP175 T01330100', 'KABI 150552Z 20013KT 10SM CLR 14/10 A3007 RMK AO2 PK WND 21028/0522 SLP172 T01390100 10189 20139 402110072 53003', 'KABI 150452Z 20016G28KT 10SM CLR 14/10 A3006 RMK AO2 PK WND 21028/0452 SLP169 T01440100', 'KABI 150352Z 18012G19KT 10SM CLR 14/09 A3005 RMK AO2 SLP168 T01440094', 'KABI 150252Z 18009KT 10SM CLR 16/09 A3006 RMK AO2 SLP169 T01560089 53014', 'KABI 150152Z 18008KT 10SM CLR 16/09 A3004 RMK AO2 SLP162 T01610089', 'KABI 150052Z 19012KT 10SM CLR 18/09 A3003 RMK AO2 SLP158 T01780089', 'KABI 142352Z 19012G19KT 10SM CLR 19/08 A3002 RMK AO2 SLP152 T01890083 10211 20144 53006', 'KABI 142252Z 19016G23KT 10SM CLR 20/09 A3001 RMK AO2 PK WND 23026/2228 SLP149 T02000089', 'KABI 142152Z 19012KT 10SM CLR 21/09 A2999 RMK AO2 PK WND 18027/2056 SLP142 T02060089', 'KABI 142052Z 20016KT 10SM CLR 20/09 A3000 RMK AO2 PK WND 18028/2033 SLP144 T02000094 58028', 'KABI 141952Z 20016G22KT 10SM CLR 18/09 A3004 RMK AO2 SLP159 T01830094', 'KABI 141852Z 20017G28KT 10SM CLR 17/09 A3007 RMK AO2 PK WND 23030/1754 SLP172 T01670089', 'KABI 141752Z 19019G30KT 10SM FEW018 14/08 A3009 RMK AO2 PK WND 23030/1749 SLP181 T01390083 10144 20083 58010', 'KABI 141652Z 20019G28KT 10SM BKN015 13/08 A3012 RMK AO2 PK WND 19029/1602 SLP191 T01280078', 'KABI 131952Z 19015KT 10SM CLR 18/01 A3008 RMK AO2 SLP182 T01830011', 'KABI 131852Z 20015KT 10SM CLR 17/01 A3012 RMK AO2 SLP193 T01720011', 'KABI 131752Z 20013G21KT 10SM CLR 16/02 A3015 RMK AO2 SLP204 T01560017 10156 20017 58002', 'KABI 131652Z 21016G20KT 10SM CLR 14/01 A3017 RMK AO2 SLP211 T01390011', 'KABI 131552Z 20011KT 10SM CLR 12/01 A3017 RMK AO2 SLP213 T01170011', 'KABI 131452Z 16005KT 10SM CLR 07/02 A3015 RMK AO2 SLP211 T00720022 53006', 'KABI 131352Z 15006KT 10SM CLR 02/M01 A3014 RMK AO2 SLP207 T00221006', 'KABI 131252Z 13007KT 10SM CLR 02/M01 A3013 RMK AO2 SLP204 T00221011', 'KABI 131152Z 15007KT 10SM CLR 02/M01 A3013 RMK AO2 SLP203 T00221006 10028 20006 53002', 'KABI 131052Z 16007KT 10SM CLR 02/M01 A3013 RMK AO2 SLP201 T00171006', 'KABI 130952Z 14004KT 10SM CLR 01/M01 A3013 RMK AO2 SLP201 T00111011', 'KABI 130852Z 19006KT 10SM CLR 01/M01 A3013 RMK AO2 SLP201 T00111006 50001', 'KABI 130752Z 18006KT 10SM CLR 01/M01 A3013 RMK AO2 SLP202 T00061011', 'KABI 130652Z 18005KT 10SM CLR 01/M01 A3012 RMK AO2 SLP201 T00111006', 'KABI 130552Z 17004KT 10SM CLR 03/M01 A3012 RMK AO2 SLP201 T00281006 10111 20028 401280006 51003', 'KABI 130452Z 17005KT 10SM CLR 03/00 A3012 RMK AO2 SLP200 T00330000', 'KABI 130352Z 18004KT 10SM CLR 05/01 A3012 RMK AO2 SLP201 T00500006', 'KABI 130252Z 16004KT 10SM CLR 04/00 A3011 RMK AO2 SLP200 T00440000 53012', 'KABI 130152Z 00000KT 10SM CLR 08/00 A3010 RMK AO2 SLP193 T00780000', 'KABI 130052Z 34005KT 10SM CLR 10/M01 A3009 RMK AO2 SLP190 T01001006', 'KABI 122352Z 32010KT 10SM CLR 11/M01 A3008 RMK AO2 SLP184 T01111011 10128 20094 55002', 'KABI 122252Z 28010KT 10SM CLR 12/M01 A3007 RMK AO2 PK WND 31026/2158 SLP182 T01221011', 'KABI 122152Z 27013G28KT 10SM CLR 12/00 A3007 RMK AO2 PK WND 32032/2108 SLP181 T01220000', 'KABI 122052Z 32010KT 10SM CLR 12/00 A3008 RMK AO2 SLP185 T01220000 56025', 'KABI 121952Z 31010KT 10SM CLR 12/00 A3011 RMK AO2 PK WND 32029/1857 SLP193 T01170000', 'KABI 121852Z 32011KT 10SM CLR 11/M01 A3014 RMK AO2 SLP205 T01061006', 'KABI 121752Z 31009KT 10SM CLR 09/01 A3016 RMK AO2 SLP214 T00940006 10094 20006 50006', 'KABI 121652Z 30010KT 10SM CLR 08/01 A3017 RMK AO2 SLP217 T00830006', 'KABI 121552Z 31010KT 10SM CLR 06/M01 A3016 RMK AO2 SLP217 T00611006', 'KABI 121452Z 31010KT 10SM CLR 03/M01 A3014 RMK AO2 SLP211 T00331011 53010', 'KABI 121352Z 31007KT 10SM CLR 01/M02 A3013 RMK AO2 SLP208 T00111017', 'KABI 121252Z 29008KT 10SM CLR 01/M01 A3011 RMK AO2 SLP203 T00111011', 'KABI 121152Z 29008KT 10SM CLR 02/M01 A3011 RMK AO2 SLP202 70001 T00171006 10028 20017 51005', 'KABI 121052Z 29010KT 10SM OVC028 03/01 A3011 RMK AO2 SLP199 T00280006']","['2024-02-15 09:52:00', '2024-02-15 08:52:00', '2024-02-15 07:52:00', '2024-02-15 06:52:00', '2024-02-15 05:52:00', '2024-02-15 04:52:00', '2024-02-15 03:52:00', '2024-02-15 02:52:00', '2024-02-15 01:52:00', '2024-02-15 00:52:00', '2024-02-14 23:52:00', '2024-02-14 22:52:00', '2024-02-14 21:52:00', '2024-02-14 20:52:00', '2024-02-14 19:52:00', '2024-02-14 18:52:00', '2024-02-14 17:52:00', '2024-02-14 16:52:00', '2024-02-13 19:52:00', '2024-02-13 18:52:00', '2024-02-13 17:52:00', '2024-02-13 16:52:00', '2024-02-13 15:52:00', '2024-02-13 14:52:00', '2024-02-13 13:52:00', '2024-02-13 12:52:00', '2024-02-13 11:52:00', '2024-02-13 10:52:00', '2024-02-13 09:52:00', '2024-02-13 08:52:00', '2024-02-13 07:52:00', '2024-02-13 06:52:00', '2024-02-13 05:52:00', '2024-02-13 04:52:00', '2024-02-13 03:52:00', '2024-02-13 02:52:00', '2024-02-13 01:52:00', '2024-02-13 00:52:00', '2024-02-12 23:52:00', '2024-02-12 22:52:00', '2024-02-12 21:52:00', '2024-02-12 20:52:00', '2024-02-12 19:52:00', '2024-02-12 18:52:00', '2024-02-12 17:52:00', '2024-02-12 16:52:00', '2024-02-12 15:52:00', '2024-02-12 14:52:00', '2024-02-12 13:52:00', '2024-02-12 12:52:00', '2024-02-12 11:52:00', '2024-02-12 10:52:00']"
