Country,Airport
Argentina, San Martin de los Andes Airport (CPC/SAZY) 
Argentina, San Rafael Airport (AFA/SAMR) 
Argentina, Santa Fe Sauce Viejo Airport (SFN/SAAV) 
Argentina, Santa Rosa Airport (RSA/SAZR) 
Argentina, Santiago del Estero Airport (SDE/SANE) 
Argentina, Sunchales Airport (NCJ/SAFS) 
Argentina, Termas de Rio Hondo Airport (RHD/SANH) 
Argentina, Trelew Almirante Marco Andres Zar Airport (REL/SAVT) 
Argentina, Tucuman Airport (TUC/SANT) 
Argentina, Ushuaia Malvinas Argentinas International Airport (USH/SAWH) 
Argentina, Viedma Gobernador Edgardo Castello Airport (VDM/SAVV) 
Argentina, Villa Gesell Airport (VLG/SAZV) 
Armenia, Gyumri Shirak Airport (LWN/UDSG) 
Armenia, Yerevan Zvartnots International Airport (EVN/UDYZ) 
Aruba, Oranjestad Queen Beatrix International Airport (AUA/TNCA) 
Australia, Adelaide Airport (ADL/YPAD) 
Australia, Adelaide Parafield Airport (QBP/YPPF) 
Australia, Albany Airport (ALH/YABA) 
Australia, Albury Airport (ABX/YMAY) 
Australia, Alice Springs Airport (ASP/YBAS) 
Australia, Amata Airport (AMT/YAMT) 
Australia, Ararat Airport (ARY/YARA) 
Australia, Argyle Airport (GYL/YARG) 
Australia, Armidale Airport (ARM/YARM) 
Australia, Aurukun Airport (AUU/YAUR) 
Australia, Ayers Rock Airport (AYQ/YAYE) 
Australia, Ayr Airport (AYR/YAYR) 
Australia, Badu Island Airport (BDD/YBAU) 
Australia, Bairnsdale Airport (BSJ/YBNS) 
Australia, Balcanoona Airport (LCN/YBLC) 
Australia, Balgo Hill Airport (BQW/YBGO) 
Australia, Ballera Airport (BBL/YLLE) 
Australia, Ballina Byron Gateway Airport (BNK/YBNA) 
Australia, Bamaga Northern Peninsula Airport (ABM/YNPE) 
Australia, Bankstown Airport (BWU/YSBK) 
Australia, Barcaldine Airport (BCI/YBAR) 
Australia, Barimunya Airport (BYP/YBRY) 
Australia, Barrow Island Airport (BWB/YBWX) 
Australia, Bathurst Airport (BHS/YBTH) 
Australia, Beagle Bay Airport (BEE/YBGB) 
Australia, Bedourie Airport (BEU/YBIE) 
Australia, Bellburn Airport (BXF/YBEB) 
Australia, Bellevue Airport (QBU/YBLU) 
Australia, Benalla Airport (BLN/YBLA) 
Australia, Bendigo Airport (BXG/YBDG) 
Australia, Beverley Airport (QBB/YBEE) 
Australia, Billiluna Airport (BIW/YBIL) 
Australia, Birdsville Airport (BVI/YBDV) 
Australia, Blackall Airport (BKQ/YBCK) 
Australia, Boigu Island Airport (GIC/YBOI) 
Australia, Boolgeeda Airport (OCM/YBGD) 
Australia, Borroloola Airport (BOX/YBRL) 
Australia, Boulia Airport (BQL/YBOU) 
Australia, Bourke Airport (BRK/YBKE) 
Australia, Bowen Airport (ZBO/YBWN) 
Australia, Brewarrina Airport (BWQ/YBRW) 
Australia, Brisbane Airport (BNE/YBBN) 
Australia, Brisbane Archerfield Airport (QBA/YBAF) 
Australia, Broken Hill Airport (BHQ/YBHI) 
Australia, Broome International Airport (BME/YBRM) 
Australia, Bunbury Airport (BUY/YBUN) 
Australia, Bundaberg Airport (BDB/YBUD) 
Australia, Burketown Airport (BUC/YBKT) 
Australia, Burnie Airport (BWT/YWYY) 
Australia, Busselton Regional Airport (BQB/YBLN) 
Australia, Cairns Airport (CNS/YBCS) 
Australia, Callion Airport (QBI/YCAI) 
Australia, Caloundra Airport (CUD/YCDR) 
Australia, Camden Airport (CDU/YSCN) 
Australia, Camooweal Airport (CML/YCMW) 
Australia, Canberra International Airport (CBR/YSCB) 
Australia, Cape Barren Island Airport (CBI/YCBN) 
Australia, Cape Preston Airport (QBE/YCPR) 
Australia, Carnarvon Airport (CVQ/YCAR) 
Australia, Carosue Dam Airport (WCD/YSCD) 
Australia, Carrapateena Airport (QAC/YCPT) 
Australia, Casino Airport (CSI/YCAS) 
Australia, Ceduna Airport (CED/YCDU) 
Australia, Cessnock Airport (CES/YCNK) 
Australia, Charleville Airport (CTL/YBCV) 
Australia, Charters Towers Airport (CXT/YCHT) 
Australia, Chillagoe Airport (LLG/YCGO) 
Australia, Chinchilla Airport (CCL/YCCA) 
Australia, Christmas Creek Mine Airport (CKW/YCHK) 
Australia, Christmas Island Airport (XCH/YPXM) 
Australia, Clermont Airport (CMQ/YCMT) 
Australia, Cleve Airport (CVC/YCEE) 
Australia, Cloncurry Airport (CNJ/YCCY) 
Australia, Cloudbreak Fortescue Dave Forrest Airport (KFE/YFDF) 
Australia, Cobar Airport (CAZ/YCBA) 
Australia, Coconut Island Airport (CNC/YCCT) 
Australia, Coen Airport (CUQ/YCOE) 
Australia, Coffs Harbour Airport (CFS/YCFS) 
Australia, Colac Airport (XCO/YOLA) 
Australia, Collarenebri Airport (CRB/YCBR) 
Australia, Collie Airport (CIE/YCOI) 
Australia, Collinsville Airport (KCE/YCSV) 
Australia, Condobolin Airport (CBX/YCDO) 
Australia, Coober Pedy Airport (CPD/YCBP) 
Australia, Cooinda Airport (CDA/YCOO) 
Australia, Cooktown Airport (CTN/YCKN) 
Australia, Cooma Snowy Mountains Airport (OOM/YCOM) 
Australia, Coonamble Airport (CNB/YCNM) 
Australia, Coondewanna Airport (CJF/YCWA) 
Australia, Cootamundra Airport (CMD/YCTM) 
Australia, Corowa Airport (CWW/YCOR) 
Australia, Cowra Airport (CWT/YCWR) 
Australia, Croker Island Airport (CKI/YCKI) 
Australia, Cue Airport (CUY/YCUE) 
Australia, Cunnamulla Airport (CMA/YCMU) 
Australia, Curtin Airport (DCN/YCIN) 
Australia, Dalby Airport (DBY/YDAY) 
Australia, Dalgaranga Gold Mine Airport (DGD/YDGA) 
Australia, Daly River Mission Airport (DVR/YDMN) 
Australia, Daly Waters Airport (DYW/YDLW) 
Australia, Darnley Island Airport (NLF/YDNI) 
Australia, Darwin International Airport (DRW/YPDN) 
Australia, Delissaville Airport (DLV/YDLV) 
Australia, Deniliquin Airport (DNQ/YDLQ) 
Australia, Derby Airport (DRB/YDBY) 
Australia, Devonport Airport (DPO/YDPO) 
Australia, Docker River Airport (DKV/YDVR) 
Australia, Doomadgee Airport (DMD/YDMG) 
Australia, Dubbo City Airport (DBO/YSDU) 
Australia, Dunk Island Airport (DKI/YDKI) 
Australia, Echuca Airport (ECH/YECH) 
Australia, Elcho Island Airport (ELC/YELD) 
Australia, Eliwana Camp Airport (WHB/YEWA) 
Australia, Emerald Airport (EMD/YEML) 
Australia, Ernabella Airport (ERB/YERN) 
Australia, Esperance Airport (EPR/YESP) 
Australia, Exmouth Airport (EXM/YEXM) 
Australia, Finke Airport (FIK/YFNE) 
